nu,kernel,gamma,percentile,threshold,auc,f1_score,accuracy,predictions_csv
0.15,rbf,1.0,100,0.8086907189028529,0.980253491143429,0.5607476635514018,0.9270563890325918,ckpt\oneclass_svm_predictions_p100_nu0.150_kernelrbf_gamma1.0_20251219_002329.csv
0.15,linear,N/A,100,0.0003209271873894088,0.7157451436372682,0.0,0.9513709260217279,ckpt\oneclass_svm_predictions_p100_nu0.150_kernellinear_gammascale_20251219_002329.csv
0.15,poly,N/A,100,0.0008044630949306618,0.028183679844503838,0.020618556701030927,0.9508535954474909,ckpt\oneclass_svm_predictions_p100_nu0.150_kernelpoly_gammascale_20251219_002330.csv
0.15,sigmoid,N/A,100,130.66442558012682,0.8414725857022203,0.448,0.9643041903776514,ckpt\oneclass_svm_predictions_p100_nu0.150_kernelsigmoid_gammascale_20251219_002330.csv
0.2,rbf,scale,100,45.59061615462925,0.9758888387537169,0.6625766871165644,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gammascale_20251219_002330.csv
0.2,rbf,auto,100,45.59061635506628,0.9758888387537169,0.6625766871165644,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gammaauto_20251219_002330.csv
0.2,rbf,0.001,100,101.05782973885141,0.9779887311559241,0.5151515151515151,0.966890843248836,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gamma0.001_20251219_002330.csv
0.2,rbf,0.01,100,278.0798839981653,0.9776300718475583,0.5190839694656488,0.967408173823073,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gamma0.01_20251219_002331.csv
0.2,rbf,0.1,100,82.23483740927513,0.9762822070274085,0.6308724832214765,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gamma0.1_20251219_002331.csv
0.2,rbf,1.0,100,2.000248334939037,0.9803981118322862,0.6083916083916084,0.942058975685463,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelrbf_gamma1.0_20251219_002331.csv
0.2,linear,N/A,100,0.00035031250230408735,0.9775028056413638,0.5151515151515151,0.966890843248836,ckpt\oneclass_svm_predictions_p100_nu0.200_kernellinear_gammascale_20251219_002331.csv
0.2,poly,N/A,100,0.0009264929029723002,0.028796871565258647,0.020202020202020204,0.9498189342990171,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelpoly_gammascale_20251219_002332.csv
0.2,sigmoid,N/A,100,165.28134750777556,0.8326217995441556,0.43548387096774194,0.9637868598034144,ckpt\oneclass_svm_predictions_p100_nu0.200_kernelsigmoid_gammascale_20251219_002332.csv
0.25,rbf,scale,100,69.81866123404816,0.9759119780639339,0.6625766871165644,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.250_kernelrbf_gammascale_20251219_002332.csv
0.25,rbf,auto,100,69.81866150136517,0.9759119780639339,0.6625766871165644,0.9715468184169684,ckpt\oneclass_svm_predictions_p100_nu0.250_kernelrbf_gammaauto_20251219_002332.csv
0.25,rbf,0.001,100,128.18948163989978,0.9775953628822326,0.5190839694656488,0.967408173823073,ckpt\oneclass_svm_predictions_p100_nu0.250_kernelrbf_gamma0.001_20251219_002332.csv
0.25,rbf,0.01,100,360.49001240278216,0.9769937408165862,0.5190839694656488,0.967408173823073,ckpt\oneclass_svm_predictions_p100_nu0.250_kernelrbf_gamma0.01_20251219_002333.csv
0.25,rbf,0.1,100,121.58491154930212,0.9763747642682772,0.6351351351351351,0.9720641489912054,ckpt\oneclass_svm_predictions_p100_nu0.250_kernelrbf_gamma0.1_20251219_002333.csv
0.25,rbf,1.0,100,3.744263849473649,0.9801030856270174,0.6148409893992933,0.9436109674081739,ckpt\oneclass_svm_predictions_p100_nu0.250_kernelrbf_gamma1.0_20251219_002333.csv
0.25,linear,N/A,100,0.00036019801394106726,0.9773003366769637,0.20754716981132076,0.9565442317640973,ckpt\oneclass_svm_predictions_p100_nu0.250_kernellinear_gammascale_20251219_002333.csv
0.25,poly,N/A,100,0.0010365417988807508,0.0291266067358532,0.020202020202020204,0.9498189342990171,ckpt\oneclass_svm_predictions_p100_nu0.250_kernelpoly_gammascale_20251219_002334.csv
0.25,sigmoid,N/A,100,203.44338446541718,0.8345770712575058,0.4098360655737705,0.9627521986549405,ckpt\oneclass_svm_predictions_p100_nu0.250_kernelsigmoid_gammascale_20251219_002334.csv
0.3,rbf,scale,100,99.63676478425708,0.9756400911688823,0.6666666666666666,0.9720641489912054,ckpt\oneclass_svm_predictions_p100_nu0.300_kernelrbf_gammascale_20251219_002334.csv
0.3,rbf,auto,100,99.63676514815542,0.9756400911688823,0.6666666666666666,0.9720641489912054,ckpt\oneclass_svm_predictions_p100_nu0.300_kernelrbf_gammaauto_20251219_002334.csv
0.3,rbf,0.001,100,155.33876973920667,0.9770053104716949,0.5190839694656488,0.967408173823073,ckpt\oneclass_svm_predictions_p100_nu0.300_kernelrbf_gamma0.001_20251219_002335.csv
0.3,rbf,0.01,100,444.21359529447363,0.976629296680666,0.5190839694656488,0.967408173823073,ckpt\oneclass_svm_predictions_p100_nu0.300_kernelrbf_gamma0.01_20251219_002335.csv
0.3,rbf,0.1,100,166.81211609864988,0.975911978063934,0.6351351351351351,0.9720641489912054,ckpt\oneclass_svm_predictions_p100_nu0.300_kernelrbf_gamma0.1_20251219_002335.csv
0.3,rbf,1.0,100,6.051904969652946,0.97971550218088,0.6236559139784946,0.9456802897051215,ckpt\oneclass_svm_predictions_p100_nu0.300_kernelrbf_gamma1.0_20251219_002335.csv
0.3,linear,N/A,100,0.0004304660399810379,0.9560989436904885,0.0,0.9508535954474909,ckpt\oneclass_svm_predictions_p100_nu0.300_kernellinear_gammascale_20251219_002335.csv
0.3,poly,N/A,100,0.0012649206824858878,0.02864646604884708,0.019801980198019802,0.9487842731505431,ckpt\oneclass_svm_predictions_p100_nu0.300_kernelpoly_gammascale_20251219_002336.csv
0.3,sigmoid,N/A,100,235.42853342012796,0.833246560920019,0.4098360655737705,0.9627521986549405,ckpt\oneclass_svm_predictions_p100_nu0.300_kernelsigmoid_gammascale_20251219_002336.csv
