nu,kernel,gamma,percentile,threshold,auc,f1_score,accuracy,predictions_csv
0.01,rbf,scale,98,8.101384199189266e-05,0.9748012911735101,0.6068965517241379,0.9410243145369891,ckpt\oneclass_svm_predictions_p98_nu0.010_kernelrbf_gammascale_20251219_002043.csv
0.01,rbf,auto,98,8.1017017774081e-05,0.9748012911735101,0.6068965517241379,0.9410243145369891,ckpt\oneclass_svm_predictions_p98_nu0.010_kernelrbf_gammaauto_20251219_002043.csv
0.01,rbf,0.001,98,-0.11678409460831733,0.9765078153020258,0.7142857142857143,0.966890843248836,ckpt\oneclass_svm_predictions_p98_nu0.010_kernelrbf_gamma0.001_20251219_002043.csv
0.01,rbf,0.01,98,-0.2525574138507673,0.964209271921604,0.7022222222222222,0.9653388515261252,ckpt\oneclass_svm_predictions_p98_nu0.010_kernelrbf_gamma0.01_20251219_002043.csv
0.01,rbf,0.1,98,-6.831358813215148e-05,0.9696470098226372,0.6720647773279352,0.9580962234868081,ckpt\oneclass_svm_predictions_p98_nu0.010_kernelrbf_gamma0.1_20251219_002043.csv
0.01,rbf,1.0,98,0.0003378585776983889,0.9800596994203604,0.26458036984352773,0.7325400931195034,ckpt\oneclass_svm_predictions_p98_nu0.010_kernelrbf_gamma1.0_20251219_002043.csv
0.01,linear,N/A,98,7.771642807201791e-05,0.6873127162079298,0.22535211267605634,0.9430936368339369,ckpt\oneclass_svm_predictions_p98_nu0.010_kernellinear_gammascale_20251219_002043.csv
0.01,poly,N/A,98,0.00013828470496638406,0.029068758460310304,0.011428571428571429,0.9105018106570099,ckpt\oneclass_svm_predictions_p98_nu0.010_kernelpoly_gammascale_20251219_002043.csv
0.01,sigmoid,N/A,98,-0.17598121638517145,0.7910983073594575,0.5487804878048781,0.9617175375064666,ckpt\oneclass_svm_predictions_p98_nu0.010_kernelsigmoid_gammascale_20251219_002043.csv
0.05,rbf,scale,98,0.49207078958895034,0.9752582925502992,0.6770428015564203,0.9570615623383342,ckpt\oneclass_svm_predictions_p98_nu0.050_kernelrbf_gammascale_20251219_002043.csv
0.05,rbf,auto,98,0.49207078276998356,0.9752582925502992,0.6770428015564203,0.9570615623383342,ckpt\oneclass_svm_predictions_p98_nu0.050_kernelrbf_gammaauto_20251219_002043.csv
0.05,rbf,0.001,98,0.9604780997319308,0.9790994180463479,0.7397260273972602,0.9705121572684946,ckpt\oneclass_svm_predictions_p98_nu0.050_kernelrbf_gamma0.001_20251219_002043.csv
0.05,rbf,0.01,98,4.903605552138165,0.9773928939178324,0.7272727272727273,0.9689601655457838,ckpt\oneclass_svm_predictions_p98_nu0.050_kernelrbf_gamma0.01_20251219_002043.csv
