nu,kernel,gamma,percentile,threshold,auc,f1_score,accuracy,predictions_csv
0.01,rbf,scale,95,-0.0004914668531269775,0.9748012911735101,0.6048109965635738,0.9405069839627522,ckpt\oneclass_svm_predictions_p95_nu0.010_kernelrbf_gammascale_20251219_002306.csv
0.01,rbf,auto,95,-0.0004914667636652728,0.9748012911735101,0.6048109965635738,0.9405069839627522,ckpt\oneclass_svm_predictions_p95_nu0.010_kernelrbf_gammaauto_20251219_002306.csv
0.01,rbf,0.001,95,-0.23139069140989257,0.9765078153020258,0.5918367346938775,0.9379203310915675,ckpt\oneclass_svm_predictions_p95_nu0.010_kernelrbf_gamma0.001_20251219_002306.csv
0.01,rbf,0.01,95,-0.5535844497189364,0.964209271921604,0.5907473309608541,0.9405069839627522,ckpt\oneclass_svm_predictions_p95_nu0.010_kernelrbf_gamma0.01_20251219_002306.csv
0.01,rbf,0.1,95,-0.046814121903915935,0.9696470098226372,0.5985915492957746,0.9410243145369891,ckpt\oneclass_svm_predictions_p95_nu0.010_kernelrbf_gamma0.1_20251219_002306.csv
0.01,rbf,1.0,95,0.00020824799827730953,0.9800596994203604,0.26308345120226306,0.7304707708225556,ckpt\oneclass_svm_predictions_p95_nu0.010_kernelrbf_gamma1.0_20251219_002306.csv
0.01,linear,N/A,95,-1.359501995235139e-05,0.6873127162079298,0.3008849557522124,0.9182617692705639,ckpt\oneclass_svm_predictions_p95_nu0.010_kernellinear_gammascale_20251219_002306.csv
0.01,poly,N/A,95,0.0001192340141018816,0.029068758460310304,0.009216589861751152,0.8887739265390585,ckpt\oneclass_svm_predictions_p95_nu0.010_kernelpoly_gammascale_20251219_002306.csv
0.01,sigmoid,N/A,95,-0.5016844492952718,0.7910983073594575,0.49,0.9472322814278323,ckpt\oneclass_svm_predictions_p95_nu0.010_kernelsigmoid_gammascale_20251219_002306.csv
0.05,rbf,scale,95,-6.676039900721539e-06,0.9752582925502992,0.5659163987138264,0.9301603724780134,ckpt\oneclass_svm_predictions_p95_nu0.050_kernelrbf_gammascale_20251219_002306.csv
0.05,rbf,auto,95,-6.677834270085744e-06,0.9752582925502992,0.5659163987138264,0.9301603724780134,ckpt\oneclass_svm_predictions_p95_nu0.050_kernelrbf_gammaauto_20251219_002306.csv
0.05,rbf,0.001,95,-0.00023235646920486807,0.9790994180463479,0.5993031358885017,0.9405069839627522,ckpt\oneclass_svm_predictions_p95_nu0.050_kernelrbf_gamma0.001_20251219_002306.csv
