nu  , kernel , gamma, percentile, threshold              , auc                 , f1_score            , accuracy          , predictions_csv
0.15, rbf    , auto ,         99, 21.430705628995014     , 0.9754318373769278  , 0.746268656716418   , 0.9736161407139162, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelrbf_gammaauto_20251219_002015.csv
0.15, rbf    , 0.001,         99, 10.439615848430828     , 0.9782895421887473  , 0.7643979057591623  , 0.9767201241593378, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelrbf_gamma0.001_20251219_002015.csv
0.15, rbf    , 0.01 ,         99, 63.94516094118925      , 0.9778151863292953  , 0.7643979057591623  , 0.9767201241593378, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelrbf_gamma0.01_20251219_002015.csv
0.15, rbf    , 0.1  ,         99, 39.61115403533573      , 0.9763169159927343  , 0.7525773195876289  , 0.975168132436627 , ckpt\oneclass_svm_predictions_p99_nu0.150_kernelrbf_gamma0.1_20251219_002015.csv
0.15, rbf    , 1.0  ,         99, 0.772914406437806      , 0.980253491143429   , 0.547112462006079   , 0.9229177444386963, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelrbf_gamma1.0_20251219_002015.csv
0.15, linear , N/A  ,         99, 4.528177824934717e-05  , 0.7157451436372682  , 0.20634920634920634 , 0.9482669425763063, ckpt\oneclass_svm_predictions_p99_nu0.150_kernellinear_gammascale_20251219_002015.csv
0.15, poly   , N/A  ,         99, 0.00015182757089658003 , 0.028183679844503838, 0.013245033112582781, 0.9229177444386963, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelpoly_gammascale_20251219_002016.csv
0.15, sigmoid, N/A  ,         99, 44.11058421766985      , 0.8414725857022203  , 0.6473988439306358  , 0.9684428349715468, ckpt\oneclass_svm_predictions_p99_nu0.150_kernelsigmoid_gammascale_20251219_002016.csv
0.2 , rbf    , scale,         99, 40.731994251702325     , 0.9758888387537169  , 0.75                , 0.9741334712881531, ckpt\oneclass_svm_predictions_p99_nu0.200_kernelrbf_gammascale_20251219_002016.csv
0.2 , rbf    , auto ,         99, 40.73199442489435      , 0.9758888387537169  , 0.75                , 0.9741334712881531, ckpt\oneclass_svm_predictions_p99_nu0.200_kernelrbf_gammaauto_20251219_002016.csv
0.2 , rbf    , 0.001,         99, 15.16705546731893      , 0.9779887311559241  , 0.7643979057591623  , 0.9767201241593378, ckpt\oneclass_svm_predictions_p99_nu0.200_kernelrbf_gamma0.001_20251219_002017.csv
0.2 , rbf    , 0.01 ,         99, 96.12824889778233      , 0.9776300718475583  , 0.7643979057591623  , 0.9767201241593378, ckpt\oneclass_svm_predictions_p99_nu0.200_kernelrbf_gamma0.01_20251219_002017.csv
0.2 , rbf    , 0.1  ,         99, 70.75931803768913      , 0.9762822070274085  , 0.7487179487179487  , 0.9746508018623901, ckpt\oneclass_svm_predictions_p99_nu0.200_kernelrbf_gamma0.1_20251219_002017.csv
0.2 , rbf    , 1.0  ,         99, 1.9600797774348246     , 0.9803981118322862  , 0.6                 , 0.9399896533885153, ckpt\oneclass_svm_predictions_p99_nu0.200_kernelrbf_gamma1.0_20251219_002017.csv
0.2 , linear , N/A  ,         99, 0.00012740887281636437 , 0.9775028056413638  , 0.8181818181818182  , 0.9813760993274703, ckpt\oneclass_svm_predictions_p99_nu0.200_kernellinear_gammascale_20251219_002017.csv
0.2 , poly   , N/A  ,         99, 0.0002341985048437694  , 0.028796871565258647, 0.013333333333333334, 0.9234350750129333, ckpt\oneclass_svm_predictions_p99_nu0.200_kernelpoly_gammascale_20251219_002018.csv
0.2 , sigmoid, N/A  ,         99, 58.691416080888        , 0.8326217995441556  , 0.6242774566473989  , 0.966373512674599 , ckpt\oneclass_svm_predictions_p99_nu0.200_kernelsigmoid_gammascale_20251219_002018.csv
0.25, rbf    , scale,         99, 64.73091740586979      , 0.9759119780639339  , 0.7537688442211056  , 0.9746508018623901, ckpt\oneclass_svm_predictions_p99_nu0.250_kernelrbf_gammascale_20251219_002018.csv
0.25, rbf    , auto ,         99, 64.73091764204948      , 0.9759119780639339  , 0.7537688442211056  , 0.9746508018623901, ckpt\oneclass_svm_predictions_p99_nu0.250_kernelrbf_gammaauto_20251219_002019.csv
0.25, rbf    , 0.001,         99, 20.030642669138636     , 0.9775953628822326  , 0.7578947368421053  , 0.9762027935851009, ckpt\oneclass_svm_predictions_p99_nu0.250_kernelrbf_gamma0.001_20251219_002019.csv
0.25, rbf    , 0.01 ,         99, 131.96356468883872     , 0.9769937408165862  , 0.7513227513227513  , 0.9756854630108639, ckpt\oneclass_svm_predictions_p99_nu0.250_kernelrbf_gamma0.01_20251219_002019.csv
0.25, rbf    , 0.1  ,         99, 109.37415055643417     , 0.9763747642682772  , 0.7487179487179487  , 0.9746508018623901, ckpt\oneclass_svm_predictions_p99_nu0.250_kernelrbf_gamma0.1_20251219_002019.csv
0.25, rbf    , 1.0  ,         99, 3.7039337174017484     , 0.9801030856270174  , 0.6105263157894737  , 0.9425763062596999, ckpt\oneclass_svm_predictions_p99_nu0.250_kernelrbf_gamma1.0_20251219_002019.csv
0.25, linear , N/A  ,         99, 0.0001298777203419297  , 0.9773003366769637  , 0.7309644670050761  , 0.9725814795654423, ckpt\oneclass_svm_predictions_p99_nu0.250_kernellinear_gammascale_20251219_002019.csv
0.25, poly   , N/A  ,         99, 0.00027256209730150134 , 0.0291266067358532  , 0.012987012987012988, 0.9213657527159855, ckpt\oneclass_svm_predictions_p99_nu0.250_kernelpoly_gammascale_20251219_002020.csv
0.25, sigmoid, N/A  ,         99, 79.98827494206998      , 0.8345770712575058  , 0.6162790697674418  , 0.9658561821003622, ckpt\oneclass_svm_predictions_p99_nu0.250_kernelsigmoid_gammascale_20251219_002020.csv
0.3 , rbf    , scale,         99, 94.29944292045276      , 0.9756400911688823  , 0.7537688442211056  , 0.9746508018623901, ckpt\oneclass_svm_predictions_p99_nu0.300_kernelrbf_gammascale_20251219_002020.csv
0.3 , rbf    , auto ,         99, 94.29944326351864      , 0.9756400911688823  , 0.7537688442211056  , 0.9746508018623901, ckpt\oneclass_svm_predictions_p99_nu0.300_kernelrbf_gammaauto_20251219_002021.csv
0.3 , rbf    , 0.001,         99, 25.232153556921176     , 0.9770053104716949  , 0.7446808510638298  , 0.975168132436627 , ckpt\oneclass_svm_predictions_p99_nu0.300_kernelrbf_gamma0.001_20251219_002021.csv
0.3 , rbf    , 0.01 ,         99, 168.49548788793973     , 0.976629296680666   , 0.7513227513227513  , 0.9756854630108639, ckpt\oneclass_svm_predictions_p99_nu0.300_kernelrbf_gamma0.01_20251219_002021.csv
0.3 , rbf    , 0.1  ,         99, 154.13425612050068     , 0.975911978063934   , 0.7487179487179487  , 0.9746508018623901, ckpt\oneclass_svm_predictions_p99_nu0.300_kernelrbf_gamma0.1_20251219_002021.csv
0.3 , rbf    , 1.0  ,         99, 6.011529306934447      , 0.97971550218088    , 0.6170212765957447  , 0.9441282979824107, ckpt\oneclass_svm_predictions_p99_nu0.300_kernelrbf_gamma1.0_20251219_002022.csv
0.3 , linear , N/A  ,         99, 0.0002412621110737975  , 0.9560989436904885  , 0.5862068965517241  , 0.9627521986549405, ckpt\oneclass_svm_predictions_p99_nu0.300_kernellinear_gammascale_20251219_002022.csv
0.3 , poly   , N/A  ,         99, 0.00035098192847531057 , 0.02864646604884708 , 0.013333333333333334, 0.9234350750129333, ckpt\oneclass_svm_predictions_p99_nu0.300_kernelpoly_gammascale_20251219_002022.csv
0.3 , sigmoid, N/A  ,         99, 94.68754273325422      , 0.833246560920019   , 0.6011560693641619  , 0.9643041903776514, ckpt\oneclass_svm_predictions_p99_nu0.300_kernelsigmoid_gammascale_20251219_002023.csv
