nu,kernel,gamma,percentile,threshold,auc,f1_score,accuracy,predictions_csv
0.01,rbf,scale,97,-3.317496867363048e-05,0.9748012911735101,0.6068965517241379,0.9410243145369891,ckpt\oneclass_svm_predictions_p97_nu0.010_kernelrbf_gammascale_20251219_002523.csv
0.01,rbf,auto,97,-3.317619352052551e-05,0.9748012911735101,0.6068965517241379,0.9410243145369891,ckpt\oneclass_svm_predictions_p97_nu0.010_kernelrbf_gammaauto_20251219_002523.csv
0.01,rbf,0.001,97,-0.17256252204427308,0.9765078153020258,0.6747967479674797,0.958613554061045,ckpt\oneclass_svm_predictions_p97_nu0.010_kernelrbf_gamma0.001_20251219_002523.csv
0.01,rbf,0.01,97,-0.38816366718661544,0.964209271921604,0.6557377049180327,0.9565442317640973,ckpt\oneclass_svm_predictions_p97_nu0.010_kernelrbf_gamma0.01_20251219_002523.csv
0.01,rbf,0.1,97,-0.000374903948532376,0.9696470098226372,0.6720647773279352,0.9580962234868081,ckpt\oneclass_svm_predictions_p97_nu0.010_kernelrbf_gamma0.1_20251219_002523.csv
0.01,rbf,1.0,97,0.0002996042141200953,0.9800596994203604,0.26382978723404255,0.7315054319710295,ckpt\oneclass_svm_predictions_p97_nu0.010_kernelrbf_gamma1.0_20251219_002523.csv
0.01,linear,N/A,97,2.588977640842543e-05,0.6873127162079298,0.27058823529411763,0.9358510087946198,ckpt\oneclass_svm_predictions_p97_nu0.010_kernellinear_gammascale_20251219_002523.csv
0.01,poly,N/A,97,0.00013173525454177065,0.029068758460310304,0.010582010582010581,0.9032591826176927,ckpt\oneclass_svm_predictions_p97_nu0.010_kernelpoly_gammascale_20251219_002523.csv
0.01,sigmoid,N/A,97,-0.29417538879468585,0.7910983073594575,0.5340909090909091,0.9575788929125711,ckpt\oneclass_svm_predictions_p97_nu0.010_kernelsigmoid_gammascale_20251219_002523.csv
0.05,rbf,scale,97,0.10574240978643204,0.9752582925502992,0.6048109965635738,0.9405069839627522,ckpt\oneclass_svm_predictions_p97_nu0.050_kernelrbf_gammascale_20251219_002523.csv
0.05,rbf,auto,97,0.1057424016822229,0.9752582925502992,0.6048109965635738,0.9405069839627522,ckpt\oneclass_svm_predictions_p97_nu0.050_kernelrbf_gammaauto_20251219_002523.csv
0.05,rbf,0.001,97,0.42097239372976336,0.9790994180463479,0.68,0.958613554061045,ckpt\oneclass_svm_predictions_p97_nu0.050_kernelrbf_gamma0.001_20251219_002523.csv
0.05,rbf,0.01,97,2.334966310369304,0.9773928939178324,0.6854838709677419,0.9596482152095189,ckpt\oneclass_svm_predictions_p97_nu0.050_kernelrbf_gamma0.01_20251219_002523.csv
0.05,rbf,0.1,97,0.5369115941071456,0.9739451366954751,0.6616541353383458,0.9534402483186757,ckpt\oneclass_svm_predictions_p97_nu0.050_kernelrbf_gamma0.1_20251219_002524.csv
0.05,rbf,1.0,97,0.0003019406443885094,0.9801262249372346,0.2608695652173913,0.727366787377134,ckpt\oneclass_svm_predictions_p97_nu0.050_kernelrbf_gamma1.0_20251219_002524.csv
