nu,kernel,gamma,percentile,threshold,auc,f1_score,accuracy,predictions_csv
0.1,rbf,0.001,95,0.0002247521676673243,0.6758333333333333,0.45,0.6,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.100_kernelrbf_gamma0.001_20251219_115617.csv
0.1,rbf,0.01,95,0.0003273879571312504,0.71,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.100_kernelrbf_gamma0.01_20251219_115618.csv
0.1,rbf,0.05,95,0.00043745208408848613,0.5933333333333333,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.100_kernelrbf_gamma0.05_20251219_115618.csv
0.1,rbf,0.1,95,0.0003930015680037952,0.5633333333333332,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.100_kernelrbf_gamma0.1_20251219_115618.csv
0.1,rbf,0.3,95,0.0003906250136089945,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.100_kernelrbf_gamma0.3_20251219_115618.csv
0.1,rbf,0.5,95,0.0003906250000000888,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.100_kernelrbf_gamma0.5_20251219_115618.csv
0.1,rbf,0.8,95,0.00039062500000001943,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.100_kernelrbf_gamma0.8_20251219_115618.csv
0.1,rbf,1.0,95,0.00039062500000001943,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.100_kernelrbf_gamma1.0_20251219_115618.csv
0.1,linear,N/A,95,0.00026056720709498945,0.4033333333333333,0.0,0.7090909090909091,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.100_kernellinear_gammascale_20251219_115618.csv
0.1,poly,N/A,95,6.536148515869428e-05,0.6933333333333332,0.44,0.4909090909090909,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.100_kernelpoly_gammascale_20251219_115619.csv
0.1,sigmoid,N/A,95,0.0002545819038669571,0.31833333333333336,0.18181818181818182,0.509090909090909,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.100_kernelsigmoid_gammascale_20251219_115619.csv
0.15,rbf,scale,95,0.28184807394262923,0.6691666666666667,0.5625,0.7454545454545455,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelrbf_gammascale_20251219_115619.csv
0.15,rbf,auto,95,0.8081372049888329,0.6591666666666667,0.6206896551724138,0.8,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelrbf_gammaauto_20251219_115619.csv
0.15,rbf,0.001,95,0.00020192921981612152,0.6758333333333333,0.45,0.6,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelrbf_gamma0.001_20251219_115619.csv
0.15,rbf,0.01,95,0.00022463736954253793,0.71,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelrbf_gamma0.01_20251219_115619.csv
0.15,rbf,0.05,95,0.0006538785808808192,0.5941666666666666,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelrbf_gamma0.05_20251219_115619.csv
0.15,rbf,0.1,95,0.0005895018178460887,0.5633333333333332,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelrbf_gamma0.1_20251219_115619.csv
0.15,rbf,0.3,95,0.0005859375204130268,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelrbf_gamma0.3_20251219_115619.csv
0.15,rbf,0.5,95,0.0005859374999996614,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelrbf_gamma0.5_20251219_115619.csv
0.15,rbf,0.8,95,0.0005859374999996336,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelrbf_gamma0.8_20251219_115619.csv
0.15,rbf,1.0,95,0.0005859374999996336,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelrbf_gamma1.0_20251219_115620.csv
0.15,linear,N/A,95,0.0002587704223418616,0.7999999999999999,0.3333333333333333,0.7818181818181819,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernellinear_gammascale_20251219_115620.csv
0.15,poly,N/A,95,4.9135788812761586e-05,0.6899999999999998,0.43137254901960786,0.4727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelpoly_gammascale_20251219_115620.csv
0.15,sigmoid,N/A,95,0.014519700979783445,0.32499999999999996,0.29411764705882354,0.5636363636363636,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.150_kernelsigmoid_gammascale_20251219_115620.csv
0.2,rbf,scale,95,1.5315909360653372,0.6641666666666666,0.6206896551724138,0.8,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelrbf_gammascale_20251219_115620.csv
0.2,rbf,auto,95,2.776611652567577,0.6575,0.5185185185185185,0.7636363636363637,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelrbf_gammaauto_20251219_115620.csv
0.2,rbf,0.001,95,0.1880262156101982,0.6758333333333333,0.5142857142857142,0.6909090909090909,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelrbf_gamma0.001_20251219_115620.csv
0.2,rbf,0.01,95,0.0004412535956672772,0.71,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelrbf_gamma0.01_20251219_115620.csv
0.2,rbf,0.05,95,0.0008676515790433826,0.5933333333333333,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelrbf_gamma0.05_20251219_115620.csv
0.2,rbf,0.1,95,0.0007860026251638036,0.5633333333333332,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelrbf_gamma0.1_20251219_115620.csv
0.2,rbf,0.3,95,0.0007812500272162126,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelrbf_gamma0.3_20251219_115620.csv
0.2,rbf,0.5,95,0.000781249999999567,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelrbf_gamma0.5_20251219_115621.csv
0.2,rbf,0.8,95,0.0007812500000000389,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelrbf_gamma0.8_20251219_115621.csv
0.2,rbf,1.0,95,0.0007812500000000389,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelrbf_gamma1.0_20251219_115621.csv
0.2,linear,N/A,95,0.0002722305402923406,0.33333333333333337,0.19047619047619047,0.6909090909090909,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernellinear_gammascale_20251219_115621.csv
0.2,poly,N/A,95,0.0024956953663127592,0.6883333333333334,0.5238095238095238,0.6363636363636364,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelpoly_gammascale_20251219_115621.csv
0.2,sigmoid,N/A,95,0.05976963402747877,0.3716666666666667,0.23076923076923078,0.6363636363636364,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.200_kernelsigmoid_gammascale_20251219_115621.csv
0.25,rbf,scale,95,3.4094964428857653,0.6558333333333333,0.5185185185185185,0.7636363636363637,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelrbf_gammascale_20251219_115621.csv
0.25,rbf,auto,95,5.426775868089766,0.6575,0.5185185185185185,0.7636363636363637,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelrbf_gammaauto_20251219_115621.csv
0.25,rbf,0.001,95,0.9373398014944075,0.6725,0.6,0.7818181818181819,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelrbf_gamma0.001_20251219_115621.csv
0.25,rbf,0.01,95,0.00024724212111374095,0.71,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelrbf_gamma0.01_20251219_115621.csv
0.25,rbf,0.05,95,0.00012057580287364866,0.5941666666666666,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelrbf_gamma0.05_20251219_115621.csv
0.25,rbf,0.1,95,5.973165245753975e-06,0.5633333333333332,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelrbf_gamma0.1_20251219_115622.csv
0.25,rbf,0.3,95,3.4155733796836785e-11,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelrbf_gamma0.3_20251219_115622.csv
0.25,rbf,0.5,95,2.220446049250313e-16,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelrbf_gamma0.5_20251219_115622.csv
0.25,rbf,0.8,95,0.0,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelrbf_gamma0.8_20251219_115622.csv
0.25,rbf,1.0,95,0.0,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelrbf_gamma1.0_20251219_115622.csv
0.25,linear,N/A,95,0.00023582744474021547,0.6916666666666667,0.4166666666666667,0.7454545454545455,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernellinear_gammascale_20251219_115622.csv
0.25,poly,N/A,95,0.007700315177470937,0.6933333333333332,0.5806451612903226,0.7636363636363637,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelpoly_gammascale_20251219_115622.csv
0.25,sigmoid,N/A,95,0.1847892961363907,0.375,0.0,0.6727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.250_kernelsigmoid_gammascale_20251219_115622.csv
0.3,rbf,scale,95,5.81157435323613,0.6591666666666667,0.5185185185185185,0.7636363636363637,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelrbf_gammascale_20251219_115622.csv
0.3,rbf,auto,95,8.705764621471815,0.6591666666666666,0.56,0.8,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelrbf_gammaauto_20251219_115622.csv
0.3,rbf,0.001,95,2.015074126209133,0.6791666666666666,0.6206896551724138,0.8,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelrbf_gamma0.001_20251219_115622.csv
0.3,rbf,0.01,95,0.0003926170471490574,0.71,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelrbf_gamma0.01_20251219_115623.csv
0.3,rbf,0.05,95,0.00033418687632898734,0.595,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelrbf_gamma0.05_20251219_115623.csv
0.3,rbf,0.1,95,0.0002024636187731299,0.5633333333333332,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelrbf_gamma0.1_20251219_115623.csv
0.3,rbf,0.3,95,0.00019531254095900286,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelrbf_gamma0.3_20251219_115623.csv
0.3,rbf,0.5,95,0.0001953124999989897,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelrbf_gamma0.5_20251219_115623.csv
0.3,rbf,0.8,95,0.00019531249999887867,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelrbf_gamma0.8_20251219_115623.csv
0.3,rbf,1.0,95,0.00019531249999887867,0.5,0.42857142857142855,0.2727272727272727,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelrbf_gamma1.0_20251219_115623.csv
0.3,linear,N/A,95,0.000263895857334716,0.5616666666666668,0.09523809523809523,0.6545454545454545,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernellinear_gammascale_20251219_115623.csv
0.3,poly,N/A,95,0.014524626169657677,0.6966666666666667,0.6428571428571429,0.8181818181818182,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelpoly_gammascale_20251219_115623.csv
0.3,sigmoid,N/A,95,0.5449400026286625,0.4033333333333333,0.0,0.7090909090909091,/home/task5_unified_frame/ckpt/predictions_nuts_resnet50_p95_nu0.300_kernelsigmoid_gammascale_20251219_115624.csv
