nu,kernel,gamma,percentile,threshold,auc,f1_score,accuracy,predictions_csv
0.1,rbf,0.001,95,0.00017474715412699727,0.7895833333333333,0.6285714285714286,0.723404255319149,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.100_kernelrbf_gamma0.001_20251219_115750.csv
0.1,rbf,0.01,95,0.00031245864583019574,0.7927083333333333,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.100_kernelrbf_gamma0.01_20251219_115750.csv
0.1,rbf,0.05,95,0.00039066508585119676,0.7229166666666667,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.100_kernelrbf_gamma0.05_20251219_115750.csv
0.1,rbf,0.1,95,0.0003906250009672353,0.5625,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.100_kernelrbf_gamma0.1_20251219_115750.csv
0.1,rbf,0.3,95,0.00039062500000001943,0.5,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.100_kernelrbf_gamma0.3_20251219_115750.csv
0.1,rbf,0.5,95,0.00039062500000001943,0.5,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.100_kernelrbf_gamma0.5_20251219_115750.csv
0.1,rbf,0.8,95,0.00039062500000001943,0.5,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.100_kernelrbf_gamma0.8_20251219_115750.csv
0.1,rbf,1.0,95,0.00039062500000001943,0.5,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.100_kernelrbf_gamma1.0_20251219_115750.csv
0.1,linear,N/A,95,0.00036517759979986684,0.3208333333333333,0.23529411764705882,0.723404255319149,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.100_kernellinear_gammascale_20251219_115751.csv
0.1,poly,N/A,95,7.393655980913112e-05,0.42916666666666664,0.39215686274509803,0.3404255319148936,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.100_kernelpoly_gammascale_20251219_115751.csv
0.1,sigmoid,N/A,95,0.0003407574176829793,0.5166666666666666,0.56,0.7659574468085106,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.100_kernelsigmoid_gammascale_20251219_115751.csv
0.15,rbf,scale,95,0.15544037232590766,0.7770833333333333,0.6,0.7446808510638298,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.150_kernelrbf_gammascale_20251219_115751.csv
0.15,rbf,auto,95,0.7355474023525586,0.7708333333333333,0.5517241379310345,0.723404255319149,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.150_kernelrbf_gammaauto_20251219_115751.csv
0.15,rbf,0.001,95,0.0004259545355762001,0.7875,0.6285714285714286,0.723404255319149,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.150_kernelrbf_gamma0.001_20251219_115751.csv
0.15,rbf,0.01,95,0.00028732317210032187,0.7875,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.150_kernelrbf_gamma0.01_20251219_115751.csv
0.15,rbf,0.05,95,0.0005859386931867675,0.7229166666666667,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.150_kernelrbf_gamma0.05_20251219_115751.csv
0.15,rbf,0.1,95,0.0005859375012245704,0.5625,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.150_kernelrbf_gamma0.1_20251219_115751.csv
0.15,rbf,0.3,95,0.0005859374999996336,0.5,0.4838709677419355,0.3191489361702128,/home/task5_unified_frame/ckpt/predictions_zipper_resnet50_p95_nu0.150_kernelrbf_gamma0.3_20251219_115751.csv
